"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODA"	"ODA2015E3658"		"Nee"	"Vordenseweg 1 7218BP Almen"		"4"	"Nee"	"1.077,80"	"0,00"	"9.718,80"	"218453"	"463393"	"0"	"0"	"2019-10-30"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3659"		"Nee"	"Loordijk 2 7004HH Doetinchem"		"6"	"Nee"	"2.222,80"	"0,00"	"29.944,40"	"221406"	"441514"	"0"	"0"	"2019-11-05"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3660"		"Nee"	"Vordenseweg 84 7255LE Hengelo (Gld)"	"Bronckhorst"	"2"	"Nee"	"1.117,30"	"6,80"	"14.026,00"	"218562"	"454402"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3667"		"Nee"	"Halle-Heideweg 7 7025CG Halle"	"Bronckhorst"	"2"	"Nee"	"834,80"	"0,00"	"7.516,00"	"226618"	"446169"	"0"	"0"	"2024-09-05"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3677"		"Nee"	"Marhulzen 1 7141HD Groenlo"		"4"	"Nee"	"1.183,20"	"0,00"	"10.782,00"	"240799"	"451502"	"0"	"0"	"2018-08-24"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3685"		"Nee"	"Halsedijk 2 7025DA Halle"		"1"	"Nee"	"65,00"	"0,00"	"0,00"	"227195"	"446507"	"0"	"0"	"2021-10-15"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3686"		"Nee"	"Halseweg 13 7004JB Doetinchem"		"2"	"Nee"	"1.191,20"	"0,00"	"10.728,80"	"224582"	"443552"	"0"	"0"	"2019-01-18"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3692"		"Nee"	"Vlaskampweg 4 7107AS Winterswijk Kotten"		"1"	"Nee"	"136,50"	"1.521,00"	"0,00"	"249452"	"440264"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3694"		"Nee"	"Meerdinkweg 5 7108BJ Winterswijk Woold"	"Winterswijk"	"3"	"Nee"	"212,00"	"2.277,00"	"2.400,00"	"246640"	"437853"	"0"	"0"	"2019-04-09"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3696"		"Nee"	"Meesterijweg 6 7075EG Etten"		"2"	"Nee"	"11,90"	"18,80"	"19,00"	"219799"	"437675"	"0"	"0"	"2021-12-31"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3717"		"Nee"	"Velddijk 1 a 7156ND Beltrum"		"2"	"Nee"	"235,20"	"6.432,00"	"82.880,00"	"233382"	"455751"	"0"	"0"	"2025-12-05"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3721"		"Nee"	"Molenweg 26 7084AV Breedenbroek"	"Oude IJsselstreek"	"4"	"Nee"	"3.859,50"	"534,00"	"40.363,00"	"227811"	"434754"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3729"		"Nee"	"Heidedijk 2 7065AM Sinderen"		"2"	"Nee"	"134,80"	"0,00"	"2.176,00"	"226787"	"436726"	"0"	"0"	"2017-06-19"	"NL01 Advies Verstrekken"
"ODA"	"ODA2015E3732"		"Nee"	"Heikantseweg 12 7031HB Wehl"		"8"	"Nee"	"1.738,40"	"29.350,60"	"145.185,00"	"209233"	"440760"	"0"	"0"	"2019-02-26"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3741"		"Nee"	"Varsseveldseweg 1 7095AR De Heurne"		"1"	"Nee"	"63,60"	"427,20"	"2.040,00"	"230698"	"434346"	"0"	"0"	"2020-04-08"	"NL09 Melding Activiteit Behandelen"
"ODA"	"ODA2015E3744"		"Nee"	"Needseweg 35 7151MH Eibergen"	"Berkelland"	"1"	"Nee"	"730,40"	"0,00"	"6.577,60"	"239763"	"459832"	"0"	"0"	"1900-01-01"	""
"ODA"	"ODA2015E3748"		"Nee"	"Nibbelinklaan 1 7065AE Sinderen"	"Oude IJsselstreek"	"5"	"Nee"	"1.990,00"	"389,60"	"21.194,00"	"226651"	"438574"	"0"	"0"	"2022-12-21"	"NL09 Melding Activiteit Behandelen"
