"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODNML"	"6035RP29"	"Ov.Pluimvee"	"Nee"	"Plattepeeldijk 29 6035RP Ospel"	"Nederweert"	"2"	"Nee"	"7.526,62"	"8.123,96"	"2.007.096,00"	"183882"	"368596"	"183928"	"368597"	"2024-01-22"	"Melding activiteitenbesluit met OBM"
"ODNML"	"6035RP37"	"Leghennen"	"Nee"	"Plattepeeldijk 37 6035RP Ospel"	"Nederweert"	"2"	"Nee"	"5.950,00"	"6.300,00"	"1.050.000,00"	"184123"	"368742"	"184133"	"368810"	"2013-01-24"	"Vergunning:Beschikkking WM revisievergunning"
"ODNML"	"6035RS13"	"Melkrundvee"	"Nee"	"Kruisvennendijk 13 6035RS Ospel"	"Nederweert"	"2"	"Nee"	"528,00"	"0,00"	"4.560,00"	"184761"	"368654"	"184764"	"368691"	"2015-03-06"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RS17"	"Paarden"	"Nee"	"Kruisvennendijk 17 6035RS Ospel"	"Nederweert"	"1"	"Nee"	"110,00"	"0,00"	"0,00"	"185168"	"369140"	"185137"	"369171"	"2019-10-28"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RS23"	"Schapen"	"Nee"	"Kruisvennendijk 23 6035RS Ospel"	"Nederweert"	"1"	"Nee"	"12,60"	"140,40"	"0,00"	"185442"	"369443"	"185418"	"369450"	"2017-08-03"	"Melding:Activiteitenbesluit"
"ODNML"	"6035RS31"	"Melkrundvee"	"Nee"	"Kruisvennendijk 31 6035RS Ospel"	"Nederweert"	"2"	"Nee"	"1.894,00"	"0,00"	"17.056,00"	"186039"	"370143"	"186020"	"370205"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RS5"	"Paarden"	"Nee"	"Kruisvennendijk 5 6035RS Ospel"	"Nederweert"	"4"	"Nee"	"137,90"	"0,00"	"1.670,00"	"183472"	"367834"	"183435"	"367884"	"1900-01-01"	"Vergunning:onbekend"
"ODNML"	"6035RS7"	"voormalig bedrijf"	"Ja"	"Kruisvennendijk 7 6035RS OSPEL"	"Nederweert"	"1"	"Nee"	"0,00"	"0,00"	"0,00"	"183578"	"367903"	"183578"	"367903"	"2016-06-20"	"Intrekking:intrekking gehele veebestand"
"ODNML"	"6035RT14"	"Zeugen"	"Nee"	"Kruisvennendijk 14 6035RT Ospel"	"Nederweert"	"5"	"Ja"	"5.325,86"	"91.389,40"	"358.300,00"	"183845"	"367939"	"183899"	"367913"	"2011-05-02"	"Vergunning:Beschikking WM actualiseringsvergunning"
"ODNML"	"6035RT18"	"Vleesvee"	"Nee"	"Kruisvennendijk 18 6035RT Ospel"	"Nederweert"	"4"	"Nee"	"3.573,50"	"36.347,60"	"33.693,00"	"184602"	"368425"	"184664"	"368418"	"2019-01-29"	"Vergunning:Omgevingsvergunning Inrichting"
