provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,onderwijstype,latitude,longitude
Drenthe,St Josephschool,Kerklaan,26,9564 Pa,Zandberg,1681,Borger-Odoorn,0599413230,Basisonderwijs,52.91864115,7.02484715
Drenthe,Rooms Katholieke Christelijke Basisschool De Banier,De Blokken,16,7894 Cl,Zwartemeer,0114,Emmen,0591313193,Basisonderwijs,52.72077317,7.03787746
Drenthe,Rooms Katholieke Basisschool Sint Theresia,Postweg,131,7884 Pj,Barger-Compascuum,0114,Emmen,0591349275,Basisonderwijs,52.7550683,7.04063468
Drenthe,Rkpc Basisschool Het Compas,Wikkel,3,7881 Ba,Emmer-Compascuum,0114,Emmen,0591352677,Basisonderwijs,52.81372766,7.04742262
Drenthe,Rooms Katholieke Basisschool Vredeveld,Tuinstraat,5-E,9404 Kk,Assen,0106,Assen,0592317620,Basisonderwijs,52.98829342,6.57781232
Drenthe,Rooms Katholieke Basisschool Mariaschool,Boomgaard,1-B,9761 Tm,Eelde,1730,Tynaarlo,0503093460,Basisonderwijs,53.13728399,6.57438306
Drenthe,Rooms Katholieke Basisschool De Brummelbos,Omhaal,33,7887 Cd,Erica,0114,Emmen,0591302200,Basisonderwijs,52.71513826,6.92838755
Drenthe,Maria In Campisschool,Echtenstraat,1,9402 Ja,Assen,0106,Assen,0592340684,Basisonderwijs,53.00375314,6.55535091
Drenthe,Kardinaal Alfrink-School,Geuzingerbrink,74,7812 Nx,Emmen,0114,Emmen,0591658635,Basisonderwijs,52.76541946,6.88523041
Drenthe,St Henricus-School,Jhr M W C De Jongestraat,26,7891 Kn,Klazienaveen,0114,Emmen,0591312366,Basisonderwijs,52.72311858,6.99306438
Drenthe,Kristalla,Houtweg,402,7823 Ps,Emmen,0114,Emmen,0591622657,Basisonderwijs,52.79265068,6.94135619
Drenthe,Pastoor Middelkoopschool,Meridiaan,154,7891 Ek,Klazienaveen,0114,Emmen,0591313012,Basisonderwijs,52.72961818,6.99232513
Drenthe,Rooms Katholieke Basisschool De Diedeldoorn,Boskraai,76,7827 Jv,Emmen,0114,Emmen,0591632020,Basisonderwijs,52.74895225,6.89467826
Drenthe,Protestants Christelijke Basisschool De Wegwijzer,Nieuwstraat,17,7927 Pj,Alteveer Gem De Wolden,1690,De Wolden,0528361622,Basisonderwijs,52.67597963,6.4872298
Drenthe,Christelijke Basisschool De Regenboog,Jan Naardingweg,56,7914 Pn,Noordscheschut,0118,Hoogeveen,0528341268,Basisonderwijs,52.72445858,6.53827018
Drenthe,Protestants Christelijke Basisschool De Hoeksteen,Hoogeveensche Vaart,34,7912 Tb,Nieuweroord,0118,Hoogeveen,0528341405,Basisonderwijs,52.7252421,6.56384139
Drenthe,Prot Chr Basisschool,De Spil,7,7918 Ax,Nieuwlande,0118,Hoogeveen,0528351301,Basisonderwijs,52.69530438,6.60895383
Drenthe,Protestants Christelijke Basisschool De Palm,Langewijk,110,7916 Pt,Elim,0118,Hoogeveen,0528352384,Basisonderwijs,52.68001958,6.5815037
Drenthe,De Morgenster,Grote Beer,38,7904 Lw,Hoogeveen,0118,Hoogeveen,0528231110,Basisonderwijs,52.72437635,6.50857895
Drenthe,Juliana Van Stolbergschool,K De Raadstraat,6,7902 Jd,Hoogeveen,0118,Hoogeveen,0528262655,Basisonderwijs,52.72324039,6.48552608
Drenthe,'T Kofschip,Booyenverlaat,11,7908 Ee,Hoogeveen,0118,Hoogeveen,0528275571,Basisonderwijs,52.71504744,6.45048238
Drenthe,De Sprong,Boekenberghstraat,12,7906 Ga,Hoogeveen,0118,Hoogeveen,0528225550,Basisonderwijs,52.71520124,6.48156803
Drenthe,Het Palet,Van Goghlaan,5,7901 Gk,Hoogeveen,0118,Hoogeveen,0528262460,Basisonderwijs,52.72203081,6.46942068
Drenthe,Weidebloem,Schweitzerstraat,21,7909 Av,Hoogeveen,0118,Hoogeveen,0528265274,Basisonderwijs,52.72191914,6.45991499
Drenthe,De Krullevaar,Koekoeklaan,1,7905 Hj,Hoogeveen,0118,Hoogeveen,0528264606,Basisonderwijs,52.7178583,6.4970095
Drenthe,De Regenboog,Tilber,1,7908 Pb,Hoogeveen,0118,Hoogeveen,0528276995,Basisonderwijs,52.72031598,6.4432093
Drenthe,Evangelische Basisschool De Fontein,Mimosastraat,2,7906 Pk,Hoogeveen,0118,Hoogeveen,0528745020,Basisonderwijs,52.71641877,6.48844859
Drenthe,Vrije School Assen,Tuinstraat,1,9404 Kk,Assen,0106,Assen,0592309105,Basisonderwijs,52.99002206,6.57891604
Drenthe,Toermalijn,Julianastraat,22,7941 Jc,Meppel,0119,Meppel,0522253343,Basisonderwijs,52.69356157,6.19364882
