"Bronhouder"	"VTHobject ID"	"Bedrijfstype"	"Beëndigd"	"Adres"	"Gemeente"	"Aantal stallen"	"IPPC"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"BAG VBO X"	"BAG VBO Y"	"Gem. emissie X"	"Gem. emissie Y"	"Besluitdatum"	"Zaaktype"
"ODZOB"	"5761PM7"	"voormalig bedrijf"	"Ja"	"Bakelsebrug 7 5761PM BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"177858"	"389240"	"177858"	"389240"	"2005-11-30"	"Melding:AMVB Akkerbouwbedrijven"
"ODZOB"	"5761PM8"	"voormalig bedrijf"	"Ja"	"Bakelsebrug 8 5761PM BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"177742"	"389308"	"177742"	"389308"	"1997-06-03"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PN10"	"Vleesvee"	"Nee"	"Benthem 10 5761PN Bakel"	"Gemert-Bakel"	"1"	""	"668,30"	"35,60"	"13.622,00"	"178571"	"390180"	"178594"	"390138"	"2018-07-10"	"Melding activiteitenbesluit met OBM"
"ODZOB"	"5761PP1"	"Zeugen"	"Nee"	"Besterd 1 5761PP Bakel"	"Gemert-Bakel"	"1"	"Ja"	"291,60"	"28.017,30"	"227.890,00"	"178509"	"389647"	"178524"	"389619"	"2019-03-08"	"Vergunning:Omgevingsvergunning-verandering"
"ODZOB"	"5761PR1"	"voormalig bedrijf"	"Ja"	"Rootvlaas 1 5761PR BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"180825"	"391160"	"180825"	"391160"	"2004-09-30"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PR2"	"voormalig bedrijf"	"Ja"	"Rootvlaas 2 5761PR Bakel"	"Gemert-Bakel"	"4"	""	"0,00"	"0,00"	"0,00"	"178663"	"389860"	"178699"	"389780"	"2021-11-09"	"Melding:Intrekking gehele veestand"
"ODZOB"	"5761PS1"	"voormalig bedrijf"	"Ja"	"Mathijseind 1 5761PS BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"177855"	"389994"	"177855"	"389994"	"2005-06-28"	"Intrekking:Intrekkingsvergunning"
"ODZOB"	"5761PS10"	"Biggen"	"Nee"	"Mathijseind 10 5761PS Bakel"	"Gemert-Bakel"	"2"	"Ja"	"2.113,65"	"71.568,70"	"211.015,00"	"177827"	"389617"	"177710"	"389603"	"2022-03-07"	"Omgevingsvergunning milieuneutraal"
"ODZOB"	"5761PS12"	"Zeugen"	"Nee"	"Mathijseind 12 5761PS Bakel"	"Gemert-Bakel"	"1"	""	"565,00"	"0,00"	"0,00"	"177794"	"389508"	"177777"	"389510"	"2021-12-02"	"Melding activiteitenbesluit"
"ODZOB"	"5761PS1A"	"Paarden"	"Nee"	"Mathijseind 1A 5761PS Bakel"	"Gemert-Bakel"	"1"	""	"123,10"	"0,00"	"0,00"	"177904"	"389988"	"177903"	"389999"	"2021-05-14"	"Melding activiteitenbesluit"
"ODZOB"	"5761PS3"	"Vleesvee"	"Nee"	"Mathijseind 3 5761PS Bakel"	"Gemert-Bakel"	"1"	""	"433,40"	"0,00"	"8.720,00"	"177942"	"389959"	"178008"	"389974"	"2020-01-01"	"Intrekking:Intrekking gedeeltelijke veestand"
"ODZOB"	"5761PS6"	"Melkrundvee"	"Nee"	"Mathijseind 6 5761PS Bakel"	"Gemert-Bakel"	"1"	""	"1.533,20"	"0,00"	"13.814,00"	"177404"	"390028"	"177381"	"390055"	"2004-08-09"	"Melding:AMvB melkrundveehouderij"
"ODZOB"	"5761PS7"	"Vleesvarkens"	"Nee"	"Mathijseind 7 5761PS Bakel"	"Gemert-Bakel"	"1"	"Ja"	"1.510,50"	"62.767,00"	"390.073,50"	"177472"	"389962"	"177441"	"389916"	"2025-04-03"	"Omgevingsvergunning-verandering"
"ODZOB"	"5761PT1"	"Vleesvee"	"Nee"	"Muizenhol 1 5761PT Bakel"	"Gemert-Bakel"	"1"	"Nee"	"1.612,80"	"38.277,12"	"32.947,20"	"177759"	"389815"	"177801"	"389701"	"2025-12-16"	"Omgevingsvergunning-revisie OW"
"ODZOB"	"5761PT2"	"voormalig bedrijf"	"Ja"	"Muizenhol 2 5761PT BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"177633"	"389838"	"177633"	"389838"	"2002-09-12"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PT4"	"Melkrundvee"	"Nee"	"Muizenhol 4 5761PT Bakel"	"Gemert-Bakel"	"1"	""	"1.059,20"	"0,00"	"9.560,00"	"177556"	"389765"	"177526"	"389742"	"2005-04-12"	"Vergunning:Revisievergunning"
"ODZOB"	"5761PX1"	"voormalig bedrijf"	"Ja"	"Grotelseheide 1 5761PX BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"176067"	"390873"	"176067"	"390873"	"2009-10-27"	"Intrekking:Intrekking gehele veestand"
"ODZOB"	"5761PX11"	"Leghennen"	"Nee"	"Grotelseheide 11 5761PX Bakel"	"Gemert-Bakel"	"1"	""	"3.137,50"	"7.055,00"	"1.743.000,00"	"176206"	"391175"	"176166"	"391153"	"2019-12-05"	"Melding:Melding Activiteitenbesluit (met OBM)"
"ODZOB"	"5761PX4"	"Geiten"	"Nee"	"Grotelseheide 4 5761PX Bakel"	"Gemert-Bakel"	"1"	""	"1.307,20"	"12.934,40"	"13.072,00"	"176133"	"390887"	"176172"	"390845"	"2008-12-22"	"Melding:Melding verandering inrichting 8.19"
"ODZOB"	"5761PZ2"	"voormalig bedrijf"	"Ja"	"Speurgt 2 5761PZ BAKEL"	"Gemert-Bakel"	"1"	""	"0,00"	"0,00"	"0,00"	"176183"	"391881"	"176183"	"391881"	"1999-06-20"	"Intrekking:Intrekking gehele veestand"
