"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"OMWB"	"5087TK4"	"5087TK4_2689"	"bedrijf"	"Nee"	"Westelbeersedijk 4 5087TK Diessen"	"Hilvarenbeek"	"141893"	"384741"	"3.133,80"	"0,00"	"36.000,00"	"5087TK4_2689"	"2010-05-25"	"Vergunning:Revisievergunning"
"OMWB"	"5087TK5"	"5087TK5_2690"	"bedrijf"	"Nee"	"Westelbeersedijk 5 5087TK Diessen"	"Hilvarenbeek"	"141982"	"384833"	"4,40"	"0,00"	"38,00"	"5087TK5_2690"	"2018-09-27"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TL4"	"5087TL4_17707"	"hobbykippen"	"Nee"	"Toekomstweg 4 5087TL Diessen"	"Hilvarenbeek"	"142521"	"386596"	"3,15"	"3,40"	"840,00"	"5087TL4_17707"	"2021-11-25"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087TL4"	"5087TL4_17708"	"stal 2"	"Nee"	"Toekomstweg 4 5087TL Diessen"	"Hilvarenbeek"	"142524"	"386650"	"116,00"	"712,00"	"3.400,00"	"5087TL4_17708"	"2021-11-25"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087TL4"	"5087TL4_17709"	"stal 6, geometrisch "	"Nee"	"Toekomstweg 4 5087TL Diessen"	"Hilvarenbeek"	"142504"	"386660"	"176,40"	"0,00"	"3.780,00"	"5087TL4_17709"	"2021-11-25"	"Intrekking:Intrekking gedeeltelijke veestand"
"OMWB"	"5087TL6"	"5087TL6_2692"	"bedrijf"	"Nee"	"Toekomstweg 6 5087TL Diessen"	"Hilvarenbeek"	"142475"	"386246"	"4.130,00"	"4.984,00"	"46.060,00"	"5087TL6_2692"	"2019-11-12"	"Vergunning:Omgevingsvergunning-oprichting"
"OMWB"	"5087TM4"	"5087TM4_2693"	"bedrijf"	"Nee"	"Van de Veldenweg 4 5087TM Diessen"	"Hilvarenbeek"	"142093"	"386428"	"3.122,30"	"202.651,77"	"1.131.216,00"	"5087TM4_2018"	"2018-10-05"	"Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17395"	"Stal 1"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141741"	"387172"	"78,75"	"2.222,50"	"5.425,00"	"5087TN4_17395"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17396"	"stal 5"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141754"	"387175"	"263,70"	"2.230,70"	"20.310,00"	"5087TN4_17396"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17397"	"Stal 6"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141695"	"387187"	"1.523,90"	"10.939,50"	"102.380,00"	"5087TN4_17397"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17398"	"Stal 7"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141706"	"387163"	"464,00"	"4.464,00"	"25.600,00"	"5087TN4_17398"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17399"	"Stal 7A"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141654"	"387170"	"175,80"	"5.935,40"	"19.850,00"	"5087TN4_17399"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TN4"	"5087TN4_17400"	"Stal 8"	"Nee"	"Ansbaldweg 4 5087TN Diessen"	"Hilvarenbeek"	"141687"	"387134"	"550,08"	"16.502,40"	"226.144,00"	"5087TN4_17400"	"2020-10-15"	"Vergunning:Omgevingsvergunning-verandering"
"OMWB"	"5087TP11"	"5087TP11_2703"	"bedrijf"	"Nee"	"Beerseweg 11 5087TP Diessen"	"Hilvarenbeek"	"142568"	"387245"	"2.449,24"	"106.386,89"	"626.151,80"	"5087TP11_2022-051578"	"2022-11-30"	"Omgevingsvergunning milieuneutraal"
"OMWB"	"5087TP16"	"5087TP16_17781"	"Stal A"	"Nee"	"Beerseweg 16 5087TP Diessen"	"Hilvarenbeek"	"141883"	"387273"	"376,00"	"0,00"	"7.864,00"	"5087TP16_17781"	"2021-10-06"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TP16"	"5087TP16_17782"	"Stal B"	"Nee"	"Beerseweg 16 5087TP Diessen"	"Hilvarenbeek"	"141850"	"387268"	"387,20"	"0,00"	"3.344,00"	"5087TP16_17782"	"2021-10-06"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TP16"	"5087TP16_17783"	"Stal C"	"Nee"	"Beerseweg 16 5087TP Diessen"	"Hilvarenbeek"	"141872"	"387289"	"15,00"	"0,00"	"0,00"	"5087TP16_17783"	"2021-10-06"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TP16"	"5087TP16_17784"	"Stal E"	"Nee"	"Beerseweg 16 5087TP Diessen"	"Hilvarenbeek"	"141916"	"387259"	"1.326,00"	"0,00"	"15.096,00"	"5087TP16_17784"	"2021-10-06"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TP16"	"5087TP16_17785"	"Iglo's"	"Nee"	"Beerseweg 16 5087TP Diessen"	"Hilvarenbeek"	"141914"	"387294"	"66,00"	"0,00"	"570,00"	"5087TP16_17785"	"2021-10-06"	"Melding:Melding activiteitenbesluit"
"OMWB"	"5087TP24"	"5087TP24_15252"	"bedrijf"	"Nee"	"Beerseweg 24 5087TP Diessen"	"Hilvarenbeek"	"142559"	"387125"	"6.678,00"	"62.964,00"	"4.197.600,00"	"5087TP24_15252"	"2021-08-02"	"Vergunning:Omgevingsvergunning Milieuneutraal"
"OMWB"	"5087TP26"	"5087TP26_2709"	"bedrijf"	"Nee"	"Beerseweg 26 5087TP Diessen"	"Hilvarenbeek"	"142764"	"387038"	"2.620,80"	"11.684,00"	"87.540,00"	"5087TP26_2709"	"2004-12-14"	"Melding:Melding verandering inrichting 8.19"
"OMWB"	"5087TP28"	"5087TP28_2710"	"bedrijf"	"Nee"	"Beerseweg 28 5087TP Diessen"	"Hilvarenbeek"	"142977"	"387035"	"519,30"	"5.027,60"	"740,00"	"5087TP28_2710"	"2009-03-10"	"Melding:Melding verandering inrichting 8.19"
"OMWB"	"5087TP28A"	"5087TP28A_2711"	"bedrijf"	"Nee"	"Beerseweg 28A 5087TP Diessen"	"Hilvarenbeek"	"143028"	"386985"	"10,50"	"117,00"	"0,00"	"5087TP28A_2711"	"2015-02-17"	"Intrekking:Intrekking gedeeltelijke veestand"
