"Bronhouder"	"VTHobject ID"	"Stal ID"	"Omschrijving"	"Beëndigd"	"Adres"	"Gemeente"	"EmissieX"	"EmissieY"	"NH3 emissie (kg/j)"	"Geur emissie (ouE/s)"	"Fijnstof emissie (g/j)"	"Zaaknummer"	"Besluitdatum"	"Zaaktype"
"Horst aan de Maas"	"5866AP10"	"5866AP10_10013"	"1"	"Nee"	"Boabelweg 10 5866AP Swolgen"	"Horst aan de Maas"	"205676"	"388967"	"15,50"	"0,00"	"0,00"	"5866AP10_10013"	"2018-10-01"	"Melding:Activiteitenbesluit"
"Horst aan de Maas"	"5866BR11"	"5866BR11_10033"	"1"	"Nee"	"Donkstraat 11 5866BR Swolgen"	"Horst aan de Maas"	"205208"	"389843"	"200,00"	"0,00"	"0,00"	"5866BR11_10033"	"1994-07-04"	"Vergunning:"
"Horst aan de Maas"	"5866BR12"	"5866BR12_9558"	"4"	"Nee"	"Donkstraat 12 5866BR Swolgen"	"Horst aan de Maas"	"205299"	"390012"	"264,00"	"0,00"	"2.280,00"	"5866BR12_2022"	"2022-08-01"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866BR12"	"5866BR12_9559"	"2"	"Nee"	"Donkstraat 12 5866BR Swolgen"	"Horst aan de Maas"	"205334"	"389995"	"786,20"	"0,00"	"9.050,00"	"5866BR12_2022"	"2022-08-01"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866BR12"	"5866BR12_9560"	"3"	"Nee"	"Donkstraat 12 5866BR Swolgen"	"Horst aan de Maas"	"205289"	"389982"	"407,60"	"0,00"	"3.002,00"	"5866BR12_2022"	"2022-08-01"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866BR12"	"5866BR12_9561"	"6"	"Nee"	"Donkstraat 12 5866BR Swolgen"	"Horst aan de Maas"	"205355"	"390021"	"462,00"	"0,00"	"0,00"	"5866BR12_2022"	"2022-08-01"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866BR14"	"5866BR14_9506"	"1"	"Nee"	"Donkstraat 14 5866BR SWOLGEN"	"Horst aan de Maas"	"205118"	"390172"	"150,00"	"0,00"	"0,00"	"5866BR14_9506"	"2009-09-16"	"Melding:"
"Horst aan de Maas"	"5866BR15a"	"5866BR15a_2021_1"	"1"	"Nee"	"Donkstraat 15 5866BR Swolgen"	"Horst aan de Maas"			"55,00"	"0,00"	"0,00"	"5866BR15a_2021"	"2021-11-15"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866BR9"	"5866BR9_9556"	"1"	"Nee"	"Donkstraat 9 5866BR Swolgen"	"Horst aan de Maas"	"205423"	"389746"	"804,00"	"0,00"	"7.230,00"	"5866BR9_9556"	"2004-09-22"	"Melding:"
"Horst aan de Maas"	"5866CB11"	"5866CB11_9972"	"1"	"Nee"	"Gun 11 5866CB Swolgen"	"Horst aan de Maas"	"205742"	"390990"	"1.434,00"	"0,00"	"12.900,00"	"5866CB11_9972"	"2009-07-16"	"Melding:"
"Horst aan de Maas"	"5866CB15"	"5866CB15_9548"	"1"	"Nee"	"Gun 15 5866CB Swolgen"	"Horst aan de Maas"	"205484"	"391055"	"1.473,80"	"0,00"	"13.364,00"	"5866CB15_2022"	"2022-01-26"	"Melding activiteitenbesluit"
"Horst aan de Maas"	"5866CC10"	"5866CC10_9508"	"2"	"Nee"	"Gun 10 5866CC SWOLGEN"	"Horst aan de Maas"	"205732"	"390898"	"2.146,00"	"3.441,00"	"159.100,00"	"5866CC10_9508"	"2001-03-12"	"Vergunning:gedeeltelijke intrekking"
"Horst aan de Maas"	"5866CC10"	"5866CC10_9509"	"3"	"Nee"	"Gun 10 5866CC SWOLGEN"	"Horst aan de Maas"	"205734"	"390878"	"2.201,10"	"3.529,35"	"163.185,00"	"5866CC10_9509"	"2001-03-12"	"Vergunning:gedeeltelijke intrekking"
"Horst aan de Maas"	"5866CC28"	"5866CC28_10023"	"1-2-3"	"Nee"	"Gun 26A 5866CC SWOLGEN"	"Horst aan de Maas"	"205317"	"391253"	"230,50"	"0,00"	"0,00"	"5866CC28_10023"	"1997-02-03"	"Vergunning:"
"Horst aan de Maas"	"5866CD2"	"5866CD2_11304"	"5"	"Nee"	"Flemingweg 2 5866CD Swolgen"	"Horst aan de Maas"	"205645"	"391115"	"1.093,50"	"5.589,00"	"37.179,00"	"5866CD2_11304"	"1993-12-06"	"Vergunning:"
"Horst aan de Maas"	"5866CD2"	"5866CD2_11305"	"4"	"Nee"	"Flemingweg 2 5866CD Swolgen"	"Horst aan de Maas"	"205653"	"391122"	"438,00"	"3.358,00"	"22.338,00"	"5866CD2_11305"	"1993-12-06"	"Vergunning:"
"Horst aan de Maas"	"5866CD2"	"5866CD2_11307"	"1"	"Nee"	"Flemingweg 2 5866CD Swolgen"	"Horst aan de Maas"	"205709"	"391096"	"469,36"	"3.007,80"	"24.976,00"	"5866CD2_11307"	"1993-12-06"	"Vergunning:"
"Horst aan de Maas"	"5866CD2"	"5866CD2_11308"	"3"	"Nee"	"Flemingweg 2 5866CD Swolgen"	"Horst aan de Maas"	"205690"	"391123"	"381,80"	"1.283,40"	"7.360,00"	"5866CD2_11308"	"1993-12-06"	"Vergunning:"
"Horst aan de Maas"	"5866CG5"	"5866CG5_10961"	"34"	"Nee"	"Legert 5 5866CG Swolgen"	"Horst aan de Maas"	"206213"	"390069"	"261,65"	"6.901,44"	"60.798,40"	"5866CG5_2024"	"2024-10-03"	"Omgevingsvergunning-verandering OW"
"Horst aan de Maas"	"5866CG5"	"5866CG5_10962"	"56"	"Nee"	"Legert 5 5866CG Swolgen"	"Horst aan de Maas"	"206213"	"390069"	"244,02"	"1.913,94"	"10.192,00"	"5866CG5_2024"	"2024-10-03"	"Omgevingsvergunning-verandering OW"
