provincie,instellingsnaam,straatnaam,huisnummer-toevoeging,postcode,plaatsnaam,gemeentenummer,gemeentenaam,telefoonnummer,school_type,latitude,longitude
Gelderland,De Carrousel,Kardinaal de Jongstraat,2,6904 BE,ZEVENAAR,0299,ZEVENAAR,0316526069,primary,51.92939842,6.06471892
Gelderland,IKC Het Klokhuis,Walcherenstraat,7,6922 DB,DUIVEN,0226,DUIVEN,0316266316,primary,51.9392572,6.01294765
Gelderland,IKC Het Veer,Rottumstraat,85,6922 EX,DUIVEN,0226,DUIVEN,0316280550,primary,51.93995994,6.00584597
Gelderland,Openbare Basisschool Toermalijn,Bergkristal,19,6922 NP,DUIVEN,0226,DUIVEN,0316266738,primary,51.94358244,6.00070207
Gelderland,De Bem,Bemlaan,5,6905 VH,ZEVENAAR,0299,ZEVENAAR,0316528877,primary,51.91900792,6.10214895
Gelderland,Sterrenschool Zevenaar,Guido Gezellestraat,42,6901 KZ,ZEVENAAR,0299,ZEVENAAR,0316848913,primary,51.92793022,6.08584228
Gelderland,Vrije School De Kleine Prins,Torontostraat,1,7007 BK,DOETINCHEM,0222,DOETINCHEM,0314364032,primary,51.95615961,6.28527983
Gelderland,Vrije Basisschool De Esch,Rusthuisstraat,28,7101 JH,WINTERSWIJK,0294,WINTERSWIJK,0543514595,primary,51.96355602,6.72358448
Gelderland,Vrije School Valentijn,Vliepad,1,3844 EL,HARDERWIJK,0243,HARDERWIJK,0341419364,primary,52.34129925,5.61203232
Gelderland,Parcivalschool,Zwanebloemlaan,4,6832 HG,ARNHEM,0202,ARNHEM,0263213174,primary,51.96235621,5.91411828
Gelderland,Vrije School De Vijfster,Texandrilaan,30,7312 HR,APELDOORN,0200,APELDOORN,0553559010,primary,52.20442998,5.9301079
Gelderland,Blink,Jan van Riebeeckstraat,9,4105 BA,CULEMBORG,0216,CULEMBORG,0345523698,primary,51.95140334,5.21990542
Gelderland,PCBO Prinses Juliana,Tullekensmolenweg,77,7364 BA,LIEREN,0200,APELDOORN,0555061460,primary,52.16369153,5.98433142
Gelderland,PCBO Spreng Ugchelen,Bogaardslaan,75,7339 AN,UGCHELEN,0200,APELDOORN,0555332585,primary,52.18260607,5.9356698
Gelderland,De Ontdekking PC Jenaplanschool,Schopenhauerstraat,277,7323 MB,APELDOORN,0200,APELDOORN,0553663540,primary,52.2238674,6.00348862
Gelderland,PCBO De Ploeg,Holtrichtersveld,3,7327 DJ,APELDOORN,0200,APELDOORN,0555411335,primary,52.1901118,5.99636827
Gelderland,PCBO De Terebint,Rederijkershoeve,19,7326 TH,APELDOORN,0200,APELDOORN,0555414188,primary,52.1917398,6.00841681
Gelderland,PCBO De Kring,Voldersdreef,303,7328 CA,APELDOORN,0200,APELDOORN,0555334146,primary,52.19751712,5.98563257
Gelderland,PCBO De Fakkel,Roerdompweg,3,7331 CL,APELDOORN,0200,APELDOORN,0555334248,primary,52.20428068,5.96592915
Gelderland,PCBO Willem Van Oranje,Kobaltstraat,15,7334 AL,APELDOORN,0200,APELDOORN,0555331221,primary,52.19213412,5.95949054
Gelderland,PCBO De Diamant het Kristal,Laan van de Charleston,71,7323 RV,APELDOORN,0200,APELDOORN,0557630402,primary,52.23543894,5.99648551
Gelderland,PCBO De Gong,Koperslagersdonk,4,7326 HM,APELDOORN,0200,APELDOORN,0555422293,primary,52.19992493,6.00710839
Gelderland,PCBO Emmaschool,Thorbeckestraat,8,7331 RG,APELDOORN,0200,APELDOORN,0555333769,primary,52.20054391,5.97507196
