PROVINCIE,INSTELLINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,TELEFOONNUMMER,school_type
Gelderland,De Wingerd,H.W. Iordensweg,9,7391 KA,TWELLO,0285,VOORST,0571272661,primary
Gelderland,Eben Haezerschool,Notaris van Aalstweg,4,4181 BC,WAARDENBURG,1960,WEST BETUWE,0418652138,primary
Gelderland,St Nicolaasschool,Antoinette v Pinxterenln,4,6532 CW,NIJMEGEN,0268,NIJMEGEN,0243555276,primary
Gelderland,Rooms Katholieke Basisschool Brakkenstein,Heyendaalseweg,235,6525 SG,NIJMEGEN,0268,NIJMEGEN,0243553559,primary
Gelderland,Basisschool de Hazesprong,Bisonstraat,3,6531 PT,NIJMEGEN,0268,NIJMEGEN,0243550130,primary
Gelderland,Basisschool Het Kleurrijk,Thijmstraat,40-C,6531 CS,NIJMEGEN,0268,NIJMEGEN,0243551566,primary
Gelderland,Basisschool de Sterredans,Ubbergseveldweg,97,6522 HE,NIJMEGEN,0268,NIJMEGEN,0243230722,primary
Gelderland,Basisschool Montessorischool,Heyendaalseweg,6,6524 SL,NIJMEGEN,0268,NIJMEGEN,0243231091,primary
Gelderland,Basisschool Klein Heyendaal,Professor Huijbersstraat,1,6524 NP,NIJMEGEN,0268,NIJMEGEN,0243231475,primary
Gelderland,Basisschool Petrus Canisius,St. Stevenskerkhof,37-38,6511 VZ,NIJMEGEN,0268,NIJMEGEN,0243226885,primary
Gelderland,Basisschool De Kleine Wereld,Newtonstraat,50,6533 KG,NIJMEGEN,0268,NIJMEGEN,0243553159,primary
Gelderland,Basisschool De Wieken,Floraweg,69,6542 KB,NIJMEGEN,0268,NIJMEGEN,0243774502,primary
Gelderland,Basisschool Toon,Symfoniestraat,210,6544 TN,NIJMEGEN,0268,NIJMEGEN,0243771250,primary
Gelderland,Basisschool de Akker,Akkerlaan,40,6533 BL,NIJMEGEN,0268,NIJMEGEN,0243551104,primary
Gelderland,Kindcentrum De Boomgaard,Titiaanstraat,100,6663 PN,LENT,0268,NIJMEGEN,0242037220,primary
Gelderland,De Noorderstroom,Titiaanstraat,100,6663 PN,LENT,0268,NIJMEGEN,0242037500,primary
Gelderland,Basisschool met de Bijbel,Hoge Valkseweg,37,6741 GK,LUNTEREN,0228,EDE,0318461889,primary
Gelderland,Daltonschool St Joris,Hoflaan,4,7271 BR,BORCULO,1859,BERKELLAND,0545272573,primary
Gelderland,School met de Bijbel Ruitenbeek,Ruitenbeekweg,111,6741 HB,LUNTEREN,0228,EDE,0342417222,primary
Gelderland,School met de Bijbel Ruitenbeek,Lijsterstraat,6-8,3772 AV,BARNEVELD,0203,BARNEVELD, ,primary
Gelderland,Christelijke Basisschool De Wegwijzer,Kerkplein,2-A,5317 JT,NEDERHEMERT,0297,ZALTBOMMEL,0418552280,primary
Gelderland,Kindcentrum De Oersprong,Wilgenstraat,6,7071 KS,ULFT,1509,OUDE IJSSELSTREEK,0315769072,primary
Gelderland,Basissch De Borckeshof,Terborgseweg,25,7084 AC,BREEDENBROEK,1509,OUDE IJSSELSTREEK,0315655269,primary
Gelderland,Basisschool De Klimpaal,St Lidwinastraat,1,7075 AK,ETTEN,1509,OUDE IJSSELSTREEK,0315341367,primary
Gelderland,Basisschool Pius X,Hoofdstraat,35,7076 AG,VARSSELDER,1509,OUDE IJSSELSTREEK,0315641730,primary
Gelderland,Rooms Katholieke Basisschool Sint Liborius,Maurits Prinsstraat,25,7091 CV,DINXPERLO,0197,AALTEN,0315655667,primary
Gelderland,Mariaschool,Neptunus,8,7071 VG,ULFT,1509,OUDE IJSSELSTREEK,0315641071,primary
Gelderland,Sint Martinusschool,Sportlaan,2,7078 AV,MEGCHELEN,1509,OUDE IJSSELSTREEK,0315377652,primary
Gelderland,Basisschool H Walburgis,Emmerikseweg,4,7077 AP,NETTERDEN,1509,OUDE IJSSELSTREEK,0315386239,primary
Gelderland,IKC de Wijssel,Grotestraat,87,7081 CD,GENDRINGEN,1509,OUDE IJSSELSTREEK,0315640558,primary
Gelderland,Sint Bernardus-School,Sint Bernardusstraat,2,7256 AP,KEIJENBORG,1876,BRONCKHORST,0575461820,primary
Gelderland,Roncalli Basisschool,Padevoortseallee,21,7038 AL,ZEDDAM,1955,MONTFERLAND,0314651530,primary
Gelderland,Gaanderwijs,Pelgrimstraat,59-C,7011 BJ,GAANDEREN,0222,DOETINCHEM,0315325767,primary
Gelderland,Basisschool De Leer,Sint Michielsstraat,6,7255 AP,HENGELO GLD,1876,BRONCKHORST,0575461715,primary
Gelderland,Basisschool de Pannevogel,Prins Bernhardlaan,5-A,7221 BA,STEENDEREN,1876,BRONCKHORST,0575451357,primary
Gelderland,Het Timpaan school voor basisonderwijs,Koningin Wilhelminastr,10,7031 AC,WEHL,0222,DOETINCHEM,0314681330,primary
Gelderland,Basisschool De Boomgaard,Langestraat,14-A,7047 AP,BRAAMT,1955,MONTFERLAND,0314651637,primary
Gelderland,Dynamiek,Borgsche Rieten,15-G,7061 ZM,TERBORG,1509,OUDE IJSSELSTREEK,0315324907,primary
Gelderland,Het Rondeel,Schoolstraat,29,7037 AS,BEEK GEM MONTFERLAND,1955,MONTFERLAND,0316531453,primary
Gelderland,Basisschool Octa,Lavendelveld,23,7006 SM,DOETINCHEM,0222,DOETINCHEM,0314326807,primary
Gelderland,Montessori Basisschool De Pas,Prins Hendrikstraat,32,7001 GL,DOETINCHEM,0222,DOETINCHEM,0314330085,primary
Gelderland,Rooms Katholieke Basisschool Sint Jozef,Molenweg,2,7045 AG,AZEWIJN,1955,MONTFERLAND,0314651527,primary
Gelderland,Mariabasisschool,Schoolstraat,2,7041 ZM,'S-HEERENBERG,1955,MONTFERLAND,0314661863,primary
Gelderland,Pastoor Galamaschool,De Bongerd,22,7041 GL,'S-HEERENBERG,1955,MONTFERLAND,0314661485,primary
Gelderland,Rooms Katholieke Basisschool Dichterbij,Willy Brandtplein,6,7007 LA,DOETINCHEM,0222,DOETINCHEM,0314382850,primary
Gelderland,IKC Het Sterrenpalet,Prins Bernhardstraat,6,7151 DG,EIBERGEN,1859,BERKELLAND,0545471550,primary
Gelderland,Basisschool Kisveld,Hondelinkweg,2,7161 HG,NEEDE,1859,BERKELLAND,0545291341,primary
Gelderland,Basisschool De Kraanvogel,Eikenlaan,22,7251 LT,VORDEN,1876,BRONCKHORST,0575556652,primary
Gelderland,H J Piekschool,Roghorst,94,6708 KP,WAGENINGEN,0289,WAGENINGEN,0317415046,primary
Gelderland,t Blokhuus,Frans Tromplaan,49,3871 EM,HOEVELAKEN,0267,NIJKERK,0332534850,primary
Gelderland,Rooms Katholieke Basisschool Het Baken,Groenestraat,7,3861 CL,NIJKERK,0267,NIJKERK,0332451412,primary
Gelderland,Rooms Katholieke Basisschool De Doornick,Blauwe Hoek,40,6686 AE,DOORNENBURG,1705,LINGEWAARD,0481421208,primary
Gelderland,Basisschool Marang,Wilhelminastraat,2,6687 BA,ANGEREN,1705,LINGEWAARD,0263252725,primary
Gelderland,IKC De Vonkenmorgen,Schoolstraat,1,6691 XP,GENDT,1705,LINGEWAARD,0481421371,primary
Gelderland,Basissch de Borgwal,Het Hoog,20,6681 DE,BEMMEL,1705,LINGEWAARD,0481450184,primary
Gelderland,IKC PiusX,Cuperstraat,7,6681 AR,BEMMEL,1705,LINGEWAARD,0481461592,primary
Gelderland,Jenaplan IKC Donatushof,Flierenhofstraat,34,6681 BZ,BEMMEL,1705,LINGEWAARD,0481461827,primary
Gelderland,Katholieke basisschool De Wieling,Kolkweg,5,6685 BC,HAALDEREN,1705,LINGEWAARD,0481462172,primary
Gelderland,de Fonkelsteen,Prins Clausstraat,2-B,5301 RT,ZALTBOMMEL,0297,ZALTBOMMEL,0418514455,primary
Gelderland,Basisschool Boaz-Jachin,Ds. Kalshovenweg,15,8075 AE,ELSPEET,0302,NUNSPEET,0577491310,primary
Gelderland,Reformatorische Basisschool Eben Haezer,Molenstraat,98,6721 WP,BENNEKOM,0228,EDE,0318430660,primary
Gelderland,Christelijke Basisschool,Kerkstraat,33,5313 AP,NIEUWAAL,0297,ZALTBOMMEL,0418561614,primary
Gelderland,RK BS De Geldershof,Laauwikstraat,11,6663 CD,LENT,0268,NIJMEGEN,0243233510,primary
Gelderland,Protestants Christelijke Basisschool Prins Bernhard,Wiekslag,25,3853 BG,ERMELO,0233,ERMELO,0341551624,primary
Gelderland,PC Basissch Kon Juliana,Spechtstraat,49,3853 VA,ERMELO,0233,ERMELO,0341552284,primary
Gelderland,Protestants Christelijke Basisschool De Klokbeker,De la Reystraat,134,3851 BL,ERMELO,0233,ERMELO,0341556378,primary
Gelderland,Protestants Christelijke Basisschool Margriet,Hamburgerweg,141,3851 EJ,ERMELO,0233,ERMELO,0341557900,primary
Gelderland,Protestants Christelijke Basisschool Beatrix,Smidsweg,49,3852 XA,ERMELO,0233,ERMELO,0341554186,primary
Gelderland,Basisschool Bastion,Pater Jan de Vriesstraat,17,7126 BL,BREDEVOORT,0197,AALTEN,0543451529,primary
Gelderland,De Trompetter,Prinses Margrietlaan,8,6986 AT,ANGERLO,0299,ZEVENAAR,0313473067,primary
Gelderland,IKC De Tragellijn,Graaf Ottoweg,91,6915 VT,LOBITH,0299,ZEVENAAR,0316541390,primary
Gelderland,IKC Franciscus,Babborgaplein,3-B,6909 DW,BABBERICH,0299,ZEVENAAR,0316247226,primary
Gelderland,Basisschool Sprankel,Carvium,1,6914 AP,HERWEN,0299,ZEVENAAR,0316247480,primary
Gelderland,IKC het Ravelijn,De Steenderens,1,6932 CA,WESTERVOORT,0293,WESTERVOORT,0263120875,primary
Gelderland,IKC St. Martinus,Martinusweg,6,6905 AR,ZEVENAAR,0299,ZEVENAAR,0316523185,primary
Gelderland,Rooms Katholieke Paulusschool,Kerkstraat,68,6987 AD,GIESBEEK,0299,ZEVENAAR,0313631273,primary
Gelderland,IKC De Droomgaard,Goudhaanstraat,38,6921 KC,DUIVEN,0226,DUIVEN,0316261604,primary
Gelderland,De Expeditie,Reinskamp,2,6942 RZ,DIDAM,1955,MONTFERLAND,0316223766,primary
Gelderland,Rooms Katholieke Basisschool 't Scathe,Schoolstraat,1,6911 AX,PANNERDEN,0299,ZEVENAAR,0316373087,primary
Gelderland,NovaMundi,Paepestraat,23,6931 CP,WESTERVOORT,0293,WESTERVOORT,0263120924,primary
Gelderland,Lindenhage,Platanenlaan,3,6903 DK,ZEVENAAR,0299,ZEVENAAR,0316523639,primary
Gelderland,Kindcentrum de Ontdekking,Polstraat,62,6942 VM,DIDAM,1955,MONTFERLAND,0316223252,primary
Gelderland,De Wissel,Westeinde,101,6904 AC,ZEVENAAR,0299,ZEVENAAR,0316523738,primary
Gelderland,De Toorts,Marsweg,5,6941 BG,DIDAM,1955,MONTFERLAND,0316224069,primary
Gelderland,Sint Jozef,Wehlseweg,48,6941 DM,DIDAM,1955,MONTFERLAND,0316223875,primary
Gelderland,IKC De Tamboerijn,Paganinistraat,17,6904 EG,ZEVENAAR,0299,ZEVENAAR,0316524158,primary
Gelderland,Het Kofschip,Platanenlaan,1,6903 DK,ZEVENAAR,0299,ZEVENAAR,0316525619,primary
Gelderland,De Carrousel,Kardinaal de Jongstraat,2,6904 BE,ZEVENAAR,0299,ZEVENAAR,0316526069,primary
Gelderland,IKC Het Klokhuis,Walcherenstraat,7,6922 DB,DUIVEN,0226,DUIVEN,0316266316,primary
Gelderland,IKC Het Veer,Rottumstraat,85,6922 EX,DUIVEN,0226,DUIVEN,0316280550,primary
Gelderland,Openbare Basisschool Toermalijn,Bergkristal,19,6922 NP,DUIVEN,0226,DUIVEN,0316266738,primary
Gelderland,De Bem,Bemlaan,5,6905 VH,ZEVENAAR,0299,ZEVENAAR,0316528877,primary
