PROVINCIE;BEVOEGD GEZAG NUMMER;INSTELLINGSCODE;INSTELLINGSNAAM;STRAATNAAM;HUISNUMMER-TOEVOEGING;POSTCODE;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES;STRAATNAAM CORRESPONDENTIEADRES;HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES;POSTCODE CORRESPONDENTIEADRES;PLAATSNAAM CORRESPONDENTIEADRES;NODAAL GEBIED CODE;NODAAL GEBIED NAAM;RPA-GEBIED CODE;RPA-GEBIED NAAM;WGR-GEBIED CODE;WGR-GEBIED NAAM;COROPGEBIED CODE;COROPGEBIED NAAM;ONDERWIJSGEBIED CODE;ONDERWIJSGEBIED NAAM;RMC-REGIO CODE;RMC-REGIO NAAM
Noord-Holland;42683;23RD;ICBS De Bloesem;Femina Mullerstraat;74;2135 MS;HOOFDDORP;0394;HAARLEMMERMEER;Protestants-Christelijk;0235622855; ;Femina Mullerstraat;74;2135 MS;HOOFDDORP;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42683;23RE;Buitenplaats Nassaupark;Femina Mullerstraat;177;2135 MH;HOOFDDORP;0394;HAARLEMMERMEER;Rooms-Katholiek;0681024176;www.bs-dewilgen.nl;Femina Mullerstraat;177;2135 MH;HOOFDDORP;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42683;27NT;Klavertje vier;Dussenstraat;38;2134 DL;HOOFDDORP;0394;HAARLEMMERMEER;Rooms-Katholiek;0235619050;www.klavertje-vier.nl;Dussenstraat;38;2134 DL;HOOFDDORP;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42683;27PG;Christelijke Basisschool De Brandaris;Dussenstraat;34;2134 DL;HOOFDDORP;0394;HAARLEMMERMEER;Protestants-Christelijk;0235618610;www.cbsdebrandaris.nl;Dussenstraat;34;2134 DL;HOOFDDORP;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42686;31MG;IBS Elif Zuid;Winterdijkstraat;10;1079 GT;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0203620889;www.elifamsterdam.nl; ; ; ; ;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42686;31VE;IBS Elif Noord;Banneplein;111;1034 DN;AMSTERDAM;0363;AMSTERDAM;Islamitisch;0203038318; ;Banneplein;111;1034 DN;AMSTERDAM;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42686;32BD;IBS Elif Amstelveen;Schweitzerlaan;6;1187 JD;AMSTELVEEN;0362;AMSTELVEEN;Islamitisch;0207300952;https://elifamstelveen.nl;Schweitzerlaan;6;1187 JD;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42686;32FA;IBS Elif Zaandam;Jachtenlaan;9;1503 HS;ZAANDAM;0479;ZAANSTAD;Islamitisch; ; ;Jachtenlaan;9;1503 HS;ZAANDAM;41;Zaanstad;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;22;Zaanstreek;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42715;31BR;School of Understanding;Pandora;4-A-5;1183 KK;AMSTELVEEN;0362;AMSTELVEEN;Algemeen bijzonder;0202201900;www.schoolofunderstanding.nl;Pandora;4-A-5;1183 KK;AMSTELVEEN;44;Amsterdam;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;23;Groot-Amsterdam;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
Noord-Holland;42751;31FM;De Eigen Wijs;De Balk;2-A;1531 PS;WORMER;0880;WORMERLAND;Algemeen bijzonder;0752073001;www.deeigenwijs.nl;De Balk;2-A;1531 PS;WORMER;41;Zaanstad;20;Zuidelijk Noord-Holland;21;Agglomeratie Amsterdam;22;Zaanstreek;15;Zuid-Noord-Holland;21;Agglomeratie Amsterdam
